lab_name;tube_number;species;antigen_target;clone;company;order_number;lot_number;fluorochrome;processing;status;volume_on_arrival;cost_chf;quality_color;current_vol;antibody_code
Alimonti;25A;mouse;MSH2;EPR21017-2;Abcam;ab228325;;APC (in-house conj);FFPE;in use;100;9.3;good;58;159
Alimonti;26A;mouse;PTEN;EPR9941-2;Abcam;ab271924;;primary;FFPE;in use;100;9.3;not tested;100;160
Alimonti;27A;mouse;p27 KIP 1;Y236];Abcam;AB310920;;PE;FFPE;in use;100;5.6;good;25;161
Alimonti;28A0;mouse;CDKN2A/p16INK4a;PABLO33B;Abcam;AB241543;;FITC (in-house conj);FFPE;in use;100;6.5;OK;37;162
Alimonti;28A1;mouse;CDKN2A/p16INK4a;PABLO33B;Abcam;AB241543;;FITC (in-house conj);FFPE;backup;100;6.5;OK;100;162
Alimonti;29A;mouse;PAI1;EPR21850-262;Abcam;AB317605;;APC (in-house conj);FFPE;in use;100;9.6;good;46;163
Alimonti;30A;human;TET2 Recombinant Superclonal (C-terminal);7HCLC;Thermo;712150;;FITC (in-house conj);FFPE;in use;200;5.8;not tested;200;164
Alimonti;31A;human;TET2 (N-terminal);C-7;Santa Cruz;sc-398535 PE;;PE;FFPE;in use;1000;0.5;not tested;1000;165
Alimonti;32A;human;TET2 (N-terminal2);GT649;Thermo;MA5-27838;;APC (in-house conj);FFPE;in use;100;10;not tested;100;166
Alimonti;33A;mouse;NCR1;EPR23097-35;Abcam;ab267792;;APC (in-house conj);FFPE;in use;100;11.2;not tested;79;167
Alimonti;34A;mouse;Ly6G;REA526 | 1A8;Miltenyi;130-123-780;;PE;PFA;in use;200;0.4;good;116;168
Alimonti;35A;mouse;CD101;Moushi101;Thermo Fisher;12-1011-82;;PE;PFA;in use;500;0.8;not tested;479;169
Alimonti;36A;mouse;Gr-1;REA810 | RB6-8C5;Miltenyi;130-112-306;;PE;PFA;in use;200;0.4;good;157;170
Alimonti;37A;mouse;CD73;REA778 | TY/11.8;Miltenyi;130-111-517;;PE;PFA;in use;200;0.5;not tested;179;171
Alimonti;38A;mouse;Anti-Glucose Transporter GLUT1 antibody [SP168];SP168;Abcam;ab243915;;APC (in-house conj);PFA;in use;100;11.2;not tested;79;172
Alimonti;39A;mouse;DcTRAIL-R1;mDcR1-3;Biolegend;133804;;PE;PFA;in use;500;0.5;not tested;479;173
Alimonti;40A;mouse;Histone H3;RM1001;Abcam;ab281584;;APC (in-house conj);PFA;in use;80;5;not tested;56.38;174
Alimonti;41A;mouse;CXCR2;242216;R and D;MAB2164;;primary;FFPE;in use;25;10;good;0;175
Alimonti;42A;human;CLEC4F;goat polyclonal;BioTechne;AF2784-SP;;primary;FFPE;in use;25;10.6;good;22;176
Alimonti;43A;mouse;CD45;D3F8Q;Cell Signaling;81143S;;AF647;FFPE;in use;100;7;good;79;177
Calcinotto;1C0;human;CD279 (PD1);PD1.3.1.3;Miltenyi;130-117-694;;APC;FFPE;none;60;2.3;OK;0;178
Calcinotto;1C1;human;CD279 (PD1);PD1.3.1.3;Miltenyi;130-117-694;;APC;FFPE;in use;200;1.8;OK;189;178
Calcinotto;2C;human;LOX1;LOX1;BioLegend;358604;;PE;FFPE;in use;100;2.9;good;79.25;179
Calcinotto;3C;human;H2AX pS139;REA502;Miltenyi;130-125-860;;PE;FFPE;in use;200;1.7;good;97.25;180
Calcinotto;4C0;human;CD45;5B1;Miltenyi;130-113-114;;APC;FFPE;none;60;2;no;0;181
Calcinotto;4C1;human;CD45;5B1;Miltenyi;130-113-114;;APC;FFPE;in use;200;2;no;200;181
Calcinotto;5C;human;CD274 (PD-L1);REA1308;Miltenyi;130-127-907;;PE;FFPE;in use;200;1.7;good;192.5;182
Calcinotto;6C;human;CAIX/CA9;polyclonal goat;R and D systems;AF2188;;APC (in-house conj);FFPE;in use;100;9.7;good;92.5;183
Calcinotto;7C;human;Cleaved PARP (Asp214);F21-852;BD Biosciences;552933;;PE;FFPE;in use;2000;0.2;no;1950.5;184
Calcinotto;8C;human/mouse;Active Caspase-3;C92-605.rMAb;BD Biosciences;570185;;PE;FFPE;in use;500;0.6;good;384.25;185
Calcinotto;9C;human/rat;CCR4;Polyclonal rabbit IgG;abcam;AB216560;;APC (in-house conj);FFPE;in use;100;8.5;no;41.25;186
Calcinotto;10C;human;Cytokeratin 5;REAL899;Miltenyi;130-127-020;;FITC;FFPE;in use;200;2.1;good;168.5;187
Calcinotto;11C;human;CD183 (CXCR3);REAL756;Miltenyi;130-125-780;;APC;FFPE;in use;200;2.4;good;162.67;188
Calcinotto;12C;human;CD31;REA1312;Miltenyi;130-128-769;;PE;FFPE;in use;200;2.5;good;147;189
Calcinotto;13C0;human;CD15;VIMC6;Miltenyi;130-113-482;;APC;FFPE;none;60;2.3;good;0;190
Calcinotto;13C1;human;CD15;VIMC6;Miltenyi;130-113-482;;APC;FFPE;in use;200;2.3;good;91.5;190
Calcinotto;14C;human;ErbB-2 (HER2);REA1315;Miltenyi;130-127-979;;PE;FFPE;in use;200;1.7;good;164.64;191
Calcinotto;15C;human;CD117;REA787;Miltenyi;130-111-671;;APC;FFPE;in use;60;2;no;52.5;192
Calcinotto;16C;human;FcER1a;CRA1;Miltenyi;130-117-361;;FITC;FFPE;in use;200;1.4;no;192.5;193
Calcinotto;17C0;human;CD182 (CXCR2);REA208;Miltenyi;130-126-167;;PE;FFPE;in use;60;2.3;good;6;194
Calcinotto;17C1;human;CD182 (CXCR2);REA208;Miltenyi;130-126-167;;PE;FFPE;backup;200;1.9;good;200;194
Calcinotto;18C;human;Collagen I;REAL958;Miltenyi;130-127-017;;APC;FFPE;in use;200;2.4;good;165.5;195
Calcinotto;19C0;human;Bcl-2;REA872;Miltenyi;130-114-230;;FITC;FFPE;in use;60;1.9;good;25.5;196
Calcinotto;19C1;human;Bcl-2;REA872;Miltenyi;130-114-230;;FITC;FFPE;backup;200;1.5;good;200;197
Calcinotto;20C;human;IFN-g;REAL788;Miltenyi;130-125-275;;PE;FFPE;in use;200;2.4;no;137.5;198
